element	sp_num	obs_wl_vac	unc_obs_wl	ritz_wl_vac	unc_ritz_wl	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Fe	21	"9.518"	"0.010"	"9.518"	"0.005"	""	""		"9.1564"	"1311.8"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4d"	"3P*"	"2"	3	5		""	"L4776"	
Fe	19	"9.52"	"0.10"	"9.52"	"0.03"	""	""		"0.0000"	"1302"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2P*).5d"	"3D*"	"3"	5	7		""	"L4409"	
Fe	26	""	""	"9.536097"	"0.000010"	""	"1.08e+13"	A	"(6952.5255)"	"(8252.682)"	"2s"	"2S"	"1/2"	"3p"	"2P*"	"3/2"	2	4		"T7228extrap"	"L11926"	
Fe	21	"9.542"	"0.010"	"9.543"	"0.005"	""	"8.1e+11"	D	"9.1564"	"1308.4"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4d"	"3D*"	"1"	3	3		"T3664"	"L6738"	
Fe	21	"9.548"	"0.010"	"9.548"	"0.005"	""	""		"9.1564"	"1307.7"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4d"	"3D*"	"2"	3	5		""	"L6738"	
Fe	21	""	""	"9.5754"	"0.0010"	""	"3.9e+11"	E	"30.322"	"1325.1"	"2s2.2p2"	"1D"	"2"	"2s2.2p.4d"	"3P*"	"1"	5	3		"T3664"	""	
Fe	21	""	""	"9.5974"	"0.0010"	""	"1.7e+11"	E	"30.322"	"1322.2"	"2s2.2p2"	"1D"	"2"	"2s2.2p.4d"	"3D*"	"3"	5	7		"T3664"	""	
Fe	21	"9.581"	"0.010"	"9.582"	"0.006"	""	"8.9e+12"	D	"30.322"	"1324.3"	"2s2.2p2"	"1D"	"2"	"2s2.2p.4d"	"1F*"	"3"	5	7		"T3664"	"L4776"	
Fe	21	"9.587"	"0.010"	"9.587"	"0.006"	""	"3.2e+12"	E	"14.5500"	"1307.8"	"2s2.2p2"	"3P"	"2"	"2s2.2p.4d"	"3F*"	"3"	5	7		"T3664"	"L6738"	
Fe	21	""	""	"9.5873"	"0.0010"	""	"1.0e+12"	D	"30.322"	"1323.5"	"2s2.2p2"	"1D"	"2"	"2s2.2p.4d"	"1D*"	"2"	5	5		"T3664"	""	
