obs_wl_air,prev_obs,prev
4132.06,Z20q-FeI/E15q-FeI/Z20o-FeI/E12q-FeI/A17o-FeI,Z20q/E15q/Z20o/E12q/A17o
4143.41,E15q-FeI/E12q-FeI,E15q/E12q
4143.87,Z20q-FeI/E15q-FeI/Z20o-FeI/E12q-FeI,Z20q/E15q/Z20o/E12q
4177.59,Z20q-FeI/E15q-FeI/E12q-FeI,Z20q/E15q/E12q
4178.86,Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII,Z20q/E15q/Z20o/E12q
4187.04,E12q-FeI,E12q
4187.8,E12q-FeI,E12q
4199.1,Z20q-FeI/Z20o-FeI/E12q-FeI,Z20q/Z20o/E12q
4215.48,E12q-FeI,E12q
4216.18,Z20q-FeI/E15q-FeI/Z20o-FeI/E12q-FeI,Z20q/E15q/Z20o/E12q
4222.21,E15q-FeI/E12q-FeI,E15q/E12q
4226.73,Z20q-CaI/E15q-CaI/E12q-CaI,Z20q/E15q/E12q
4227.43,E15q-FeI/E12q-FeI,E15q/E12q
4235.94,E15q-FeI/E12q-FeI,E15q/E12q
4250.11,E12q-FeI,E12q
4250.79,E15q-FeI/Z20o-FeI/E12q-FeI,E15q/Z20o/E12q
4254.35,E15q-CrI/E12q-CrI,E15q/E12q
4258.15,Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII,Z20q/E15q/Z20o/E12q
4260.47,E15q-FeI/E12q-FeI,E15q/E12q
4271.76,E15q-FeI/E12q-FeI,E15q/E12q
4273.33,Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII/A17o-FeII,Z20q/E15q/Z20o/E12q/A17o
4274.77,E12q-CrI,E12q
4282.4,Z20q-FeI/E15q-FeI/Z20o-FeI/E12q-FeI,Z20q/E15q/Z20o/E12q
4289.72,E15q-CrI/E12q-CrI,E15q/E12q
4290.22,E12q-TiII,E12q
4294.12,Z20q-??FeII??TiII/E15q-FeI/Z20o-??FeII??TiII/E12q-TiII,Z20q/E15q/Z20o/E12q
4296.57,Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII,Z20q/E15q/Z20o/E12q
4299.24,E12q-FeI,E12q
4300.05,Z20q-TiII/E15q-TiII/Z20o-TiII/E12q-TiII,Z20q/E15q/Z20o/E12q
4301.93,Z20q-TiII/E15q-TiII/Z20o-TiII/E12q-TiII,Z20q/E15q/Z20o/E12q
4303.14,E12q-FeII,E12q
4307.9,Z20q-TiII/E15q-TiII/Z20o-TiII/E12q-TiII,Z20q/E15q/Z20o/E12q
4308.5,E12q-FeI,E12q
4312.86,E12q-TiII,E12q
4315.08,E15q-FeI/E12q-FeI,E15q/E12q
4325.76,E15q-FeI/E12q-FeI/A17o-FeI,E15q/E12q/A17o
4340.47,Z20q-H$\gamma$/Z20o-H$\gamma$/E12q-H$\gamma$,Z20q/Z20o/E12q
4352.73,E12q-FeI,E12q
4375.93,Z20q-FeI/E15q-FeI/E12q-FeI/A17o-FeI,Z20q/E15q/E12q/A17o
4383.54,Z20q-FeI/E15q-FeI/E12q-FeI,Z20q/E15q/E12q
4384.32,E15q-FeII/E12q-FeII,E15q/E12q
4385.39,Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII,Z20q/E15q/Z20o/E12q
4395.04,E15q-TiII/E12q-TiII,E15q/E12q
4404.75,Z20q-FeI/E15q-FeI/Z20o-FeI/E12q-FeI,Z20q/E15q/Z20o/E12q
4417.72,E15q-TiII/E12q-TiII/A17o-TiII,E15q/E12q/A17o
4443.8,Z20q-TiII/E15q-TiII/Z20o-TiII/E12q-TiII,Z20q/E15q/Z20o/E12q
4450.49,Z20q-TiII/E15q-TiII/Z20o-TiII/E12q-TiII,Z20q/E15q/Z20o/E12q
