# line table created 10-03-21 from NIST database
# elements h-zn I-II included for wavelength range 2000-20000 angstrom. Energy units in ev. Only lines with trans prob. All level information. No uncertainties. 
#Data c+p from NIST as tab-delim. No JS, no spaces in values 
# note that headers changed from ritz_wl_air to obs_wl_air for compatability with existing code, removed units from headers too
# read in as dataframe by pandas, with delim tab, index col false and comment char #
#strings stripped from ei and ek in pandas eg line_table['Ek(eV)']=line_table['Ek(eV)'].str.replace('[^\d.]', '').astype(float)
#element	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type


element	sp_num	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	rm
Ti	2	"5226.5390"	"397"	"3.1e+06"	D	"1.56577729"	"3.93732163"	"3d3"	"b 2D2"	"3/2"	"3d2.(3F).4p"	"z 2D*"	"3/2"	4	4		
Fe	1	"5226.8612"	"30900"	"1.36e+07"	B	"3.03847046"	"5.40986861"	"3d6.(5D).4s.4p.(3P*)"	"z 7P*"	"2"	"3d6.(5D).4s (6D).5s"	"e 7D"	"2"	5	5		
Fe	1	"5227.1889"	"437000"	"2.89e+06"	B+	"1.55735733"	"3.92860683"	"3d7.(4F).4s"	"a 3F"	"3"	"3d6.(5D).4s.4p.(3P*)"	"z 3D*"	"2"	7	5		
Fe	2	"5227.3171"	"2200"	"4.7e+07"	B+	"10.5194227"	"12.8906141"	"3d6.(5D).4d"	"e 6G"	"5/2"	"3d6.(5D<1>).4f"	"2[3]*"	"7/2"	6	8		
Fe	2	"5227.4855"	"10000"	"1.22e+08"	B+	"10.4514812"	"12.8225962"	"3d6.(5D).4d"	"e 6G"	"11/2"	"3d6.(5D<3>).4f"	"2[6]*"	"13/2"	12	14		
Fe	2	"5227.5872"	"100"	"7.e+05"	D	"6.7030021"	"9.0740710"	"3d6.(3P1).4s"	"c 2P"	"1/2"	"3d6.(3D).4p"	"y 2P*"	"1/2"	2	2		
Fe	2	"5227.7605"	"290"	"6.4e+06"	C+	"10.4514812"	"12.8224715"	"3d6.(5D).4d"	"e 6G"	"11/2"	"3d6.(5D<3>).4f"	"2[6]*"	"11/2"	12	12		
Fe	1	"5228.3754"	"870"	"1.9e+06"	E	"4.22036211"	"6.59107351"	"3d7.(4F).4p"	"y 5F*"	"4"	"3d7.(4F).4d"	"f 5P"	"3"	9	7		
Co	2	"5228.414"	"85*"	"3.2e+05"	D	"11.3977420"	"13.7684358"	"3d7.(4F).4d"	"e 5G"	"2"	"3d7.(4P).5p"	"5D*"	"2"	5	5		
Co	2	"5228.4189"	"85*"	"1.35e+08"	C+	"11.27952940"	"13.65022110"	"3d7.(4F).4d"	"e 5H"	"6"	"3d7.(4F<9/2>).4f"	"2[13/2]*"	"7"	13	15		
Fe	2	"5228.89114"	"500"	"1.53e+07"	C+	"10.4477261"	"12.8182037"	"3d6.(5D).4d"	"6P"	"7/2"	"3d6.(5D<3>).4f"	"2[3]*"	"7/2"	8	8		
Co	2	"5229.0758"	"66*"	"3.0e+06"	D	"11.27952940"	"13.64992329"	"3d7.(4F).4d"	"e 5H"	"6"	"3d7.(4F<9/2>).4f"	"2[11/2]*"	"5"	13	11		
Co	2	"5229.1031"	"66*"	"2.0e+06"	D	"11.51681991"	"13.8872014"	"3d7.(4F).4d"	"e 3H"	"4"	"3d7.(4F<3/2>).4f"	"2[9/2]*"	"4"	9	9		
Co	1	"5230.202"	"50"	"8.8e+05"	C	"1.740277"	"4.110160"	"3p6.3d7.4s2"	"a 4P"	"3/2"	"3p6.3d8.(3F).4p"	"y 4D*"	"3/2"	4	4		
Co	2	"5230.4891"	"260"	"2.0e+07"	C+	"11.28869072"	"13.65844410"	"3d7.(4F).4d"	"e 5D"	"4"	"3d7.(4F<9/2>).4f"	"2[5/2]*"	"3"	9	7		
Co	2	"5231.1044"	"2300"	"1.36e+08"	C+	"11.51681991"	"13.8862946"	"3d7.(4F).4d"	"e 3H"	"4"	"3d7.(4F<3/2>).4f"	"2[9/2]*"	"5"	9	11		
Fe	2	"5231.9114"	"400"	"9.1e+06"	C+	"10.5310027"	"12.9001119"	"3d6.(5D).4d"	"e 6G"	"3/2"	"3d6.(5D<0>).4f"	"2[3]*"	"5/2"	4	6		
Fe	2	"5232.78145"	"1300"	"1.68e+07"	B+	"10.3807526"	"12.7494678"	"3d6.(5D).4d"	"6D"	"9/2"	"3d6.(5D<4>).4f"	"2[5]*"	"11/2"	10	12		
Fe	1	"5232.9398"	"123000"	"1.94e+07"	B+	"2.93984587"	"5.30848946"	"3d6.(5D).4s.4p.(3P*)"	"z 7P*"	"4"	"3d6.(5D).4s (6D).5s"	"e 7D"	"5"	9	11		
Co	2	"5233.5915"	"42"	"1.9e+05"	D	"11.27952940"	"13.64787804"	"3d7.(4F).4d"	"e 5H"	"6"	"3d7.(4F<9/2>).4f"	"2[9/2]*"	"5"	13	11		
V	1	"5233.6918"	"140000"	"7.3e+06"	C+	"2.29536943"	"4.66367269"	"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"9/2"	"3d3.4s.(5F).5s"	"e 6F"	"7/2"	10	8		
V	1	"5234.0727"	"450000"	"3.11e+07"	B+	"2.35861724"	"4.7267482"	"3d4.(3H).4s"	"b 2H"	"9/2"	"3d4.(3H).4p"	"x 2H*"	"9/2"	10	10		
Fe	2	"5234.6228"	"600"	"2.5e+05"	D+	"3.22131344"	"5.58919550"	"3d6.(3G).4s"	"a 4G"	"7/2"	"3d6.(5D).4p"	"z 4F*"	"5/2"	8	6		
Co	1	"5235.192"	"45"	"1.4e+06"	C	"2.136704"	"4.504329"	"3p6.3d7.4s2"	"a 2G"	"7/2"	"3p6.3d8.(3F).4p"	"y 2F*"	"5/2"	8	6		
Fe	1	"5235.3870"	"2290"	"3.75e+06"	D+	"4.07581091"	"6.44334733"	"3d8"	"c 3F"	"4"	"3d7.(2P).4p"	"u 3D*"	"3"	9	7		
Co	2	"5235.6066"	"85"	"9.5e+06"	C+	"11.27952940"	"13.64696651"	"3d7.(4F).4d"	"e 5H"	"6"	"3d7.(4F<9/2>).4f"	"2[11/2]*"	"6"	13	13		
Fe	1	"5236.2017"	"389"	"2.58e+06"	C	"4.18636440"	"6.55353246"	"3d8"	"c 3F"	"2"	"3d7.(2D2).4p"	"t 3D*"	"1"	5	3		
Fe	2	"5236.6213"	"350"	"1.28e+07"	C+	"10.4552114"	"12.8221898"	"3d6.(5D).4d"	"6P"	"5/2"	"3d6.(5D<3>).4f"	"2[1]*"	"3/2"	6	4		
Cr	2	"5237.3219"	"140"	"1.7e+06"	D	"4.07340781"	"6.44006956"	"3d5"	"b 4F"	"9/2"	"3d4.(5D).4p"	"z 4F*"	"9/2"	10	10		
Fe	2	"5237.94901"	"1500"	"3.09e+07"	B+	"10.4477261"	"12.8141045"	"3d6.(5D).4d"	"6P"	"7/2"	"3d6.(5D<3>).4f"	"2[5]*"	"9/2"	8	10		
N	2	"5238.18"	""	"3.16e+03"	B	"19.233263"	"21.599539"	"2s.2p3"	"3S*"	"1"	"2s2.2p.3p"	"1D"	"2"	3	5		
Cr	1	"5238.96175"	"22"	"4.01e+06"	B	"2.70878630"	"5.07470726"	"3d5.(4P).4s"	"a 5P"	"2"	"3d4.(5D).4s.4p.(1P*)"	"x 5P*"	"1"	5	3		
Co	2	"5239.0179"	"84*"	"3.2e+07"	C+	"11.3981257"	"13.7640214"	"3d7.(4F).4d"	"e 5P"	"1"	"3d7.(4F<7/2>).4f"	"2[1/2]*"	"1"	3	3		
Co	2	"5239.0215"	"84*"	"7.e+06"	D	"11.47101544"	"13.8369094"	"3d7.(4F).4d"	"e 3G"	"3"	"3d7.(4F<5/2>).4f"	"2[3/2]*"	"2"	7	5		
Co	2	"5239.4303"	"26bl(Co II)"	"5.1e+06"	D	"11.28869072"	"13.6544001"	"3d7.(4F).4d"	"e 5D"	"4"	"3d7.(4F<9/2>).4f"	"2[7/2]*"	"3"	9	7		
Co	2	"5239.4957"	"540bl(Co II)"	"4.5e+07"	C+	"11.28869072"	"13.6543706"	"3d7.(4F).4d"	"e 5D"	"4"	"3d7.(4F<9/2>).4f"	"2[7/2]*"	"4"	9	9		
Fe	2	"5239.8074"	"500"	"1.33e+07"	C+	"10.4552114"	"12.8207506"	"3d6.(5D).4d"	"6P"	"5/2"	"3d6.(5D<3>).4f"	"2[2]*"	"5/2"	6	6		
Sc	2	"5239.813"	"16"	"1.39e+07"	B'	"1.455123"	"3.820660"	"3p6.4s2"	"1S"	"0"	"3p6.3d.4p"	"1P*"	"1"	1	3		
V	1	"5240.1600"	"82000"	"4.4e+06"	B+	"2.3160335"	"4.68141347"	"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"11/2"	"3d3.4s.(5F).5s"	"e 6F"	"9/2"	12	10		
N	2	"5240.857"	""	"6.20e+05"	B	"25.065964"	"27.431029"	"2s2.2p.4p"	"1P"	"1"	"2s2.2p.5d"	"1P*"	"1"	3	3		
V	1	"5240.8635"	"450000"	"3.00e+07"	B+	"2.37369583"	"4.73875827"	"3d4.(3H).4s"	"b 2H"	"11/2"	"3d4.(3H).4p"	"x 2H*"	"11/2"	12	12		
Co	2	"5241.0081"	"210"	"1.1e+06"	D	"11.39640435"	"13.7614016"	"3d7.(4F).4d"	"e 3G"	"4"	"3d7.(4P).5p"	"5D*"	"4"	9	9		
Fe	2	"5241.0545"	"290"	"7.9e+06"	C+	"10.3914073"	"12.7563835"	"3d6.(5D).4d"	"6D"	"5/2"	"3d6.(5D<4>).4f"	"2[4]*"	"7/2"	6	8		
Ar	1	"5241.093"	""	"1.3e+05"	D	"13.09487256"	"15.4598316"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<3/2>).7d"	"2[5/2]*"	"2"	5	5		
V	2	"5241.1441"	"600"	"3.5e+06"	B	"4.5161089"	"6.88104478"	"3d4"	"c 1G1"	"4"	"3d3.(2H).4p"	"y 1H*"	"5"	9	11		
Cr	1	"5241.45962"	"5"	"6.7e+05"	D	"2.70991379"	"5.07470726"	"3d5.(4P).4s"	"a 5P"	"1"	"3d4.(5D).4s.4p.(1P*)"	"x 5P*"	"1"	3	3		
Fe	1	"5242.4905"	"8900"	"2.38e+06"	B	"3.63434980"	"5.99867825"	"3d6.4s2"	"a 1I"	"6"	"3d7.(2G).4p"	"z 1H*"	"5"	13	11		
Fe	2	"5243.1777"	"100"	"8.e+05"	D+	"8.2589171"	"10.6229357"	"3d6.(3G).4p"	"x 4F*"	"3/2"	"3d6.(5D).4d"	"e 4G"	"5/2"	4	6		
Cr	1	"5243.3539"	"26"	"2.19e+07"	B	"3.39495688"	"5.75889602"	"3d4.(5D).4s.4p.(3P*)"	"z 7D*"	"2"	"3d4.4s.5s"	"f 7D"	"1"	5	3		
Fe	1	"5243.7758"	"950"	"2.0e+06"	D	"4.25622280"	"6.61997175"	"3d7.(4F).4p"	"y 5F*"	"3"	"3d7.(4F).4d"	"g 5F"	"4"	7	9		
Fe	2	"5243.9233"	"90"	"3.9e+06"	D+	"10.4552114"	"12.8188939"	"3d6.(5D).4d"	"6P"	"5/2"	"3d6.(5D<3>).4f"	"2[2]*"	"3/2"	6	4		
Co	2	"5243.9766"	"42"	"1.0e+07"	D	"11.3981257"	"13.7617842"	"3d7.(4F).4d"	"e 5P"	"1"	"3d7.(4F<7/2>).4f"	"2[3/2]*"	"2"	3	5		
C	2	"5244.051"	""	"1.41e+05"	B	"24.271872"	"26.635497"	"2s.2p.(3P*).3d"	"4F*"	"5/2"	"2s.2p.(3P*).4p"	"4D"	"7/2"	6	8		
Fe	2	"5245.17071"	"90"	"2.8e+06"	D+	"10.4477261"	"12.8108465"	"3d6.(5D).4d"	"6P"	"7/2"	"3d6.(5D<3>).4f"	"2[4]*"	"9/2"	8	10		
Fe	2	"5245.4550"	"360"	"8.7e+06"	C+	"10.4552114"	"12.8182037"	"3d6.(5D).4d"	"6P"	"5/2"	"3d6.(5D<3>).4f"	"2[3]*"	"7/2"	6	8		
Co	2	"5245.5365"	"65"	"3.8e+06"	D	"11.39640435"	"13.7593599"	"3d7.(4F).4d"	"e 3G"	"4"	"3d7.(4F<7/2>).4f"	"2[5/2]*"	"3"	9	7		
Ar	1	"5246.198"	""	"1.2e+05"	E	"13.17177770"	"15.534435"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<3/2>).8d"	"2[5/2]*"	"3"	5	7		
Cr	2	"5246.7729"	"11"	"2.1e+05"	D	"3.71355192"	"6.07595067"	"3d4.(a 3P).4s"	"b 4P"	"1/2"	"3d4.(5D).4p"	"z 4P*"	"3/2"	2	4		
Fe	1	"5247.0499"	"1580"	"3.92e+02"	A	"0.08728574"	"2.44955978"	"3d6.4s2"	"a 5D"	"2"	"3d6.(5D).4s.4p.(3P*)"	"z 7D*"	"3"	5	7		
Ti	1	"5247.2895"	"160"	"1.11e+07"	B+	"2.1029508"	"4.4651170"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"3"	"3d2.4s.(4F).5s"	"e 5F"	"2"	7	5		
Cr	1	"5247.56509"	"1250"	"1.9e+06"	B	"0.96097009"	"3.32301220"	"3d4.4s2"	"a 5D"	"0"	"3d5.(6S).4p"	"z 5P*"	"1"	1	3		
Co	2	"5247.5781"	"200"	"2.0e+07"	C+	"11.51681991"	"13.8788561"	"3d7.(4F).4d"	"e 3H"	"4"	"3d7.(4F<3/2>).4f"	"2[7/2]*"	"4"	9	9		
Co	1	"5247.911"	"50"	"1.0e+06"	D	"1.785283"	"4.147170"	"3p6.3d7.4s2"	"a 4P"	"1/2"	"3p6.3d8.(3F).4p"	"y 4D*"	"1/2"	2	2		
Fe	2	"5247.9558"	"6000"	"1.43e+08"	B+	"10.5310027"	"12.8928690"	"3d6.(5D).4d"	"e 6G"	"3/2"	"3d6.(5D<1>).4f"	"2[3]*"	"5/2"	4	6		
Co	2	"5248.5564"	"92"	"5.2e+05"	D	"11.40138467"	"13.7629806"	"3d7.(4F).4d"	"e 5D"	"3"	"3d7.(4P).5p"	"5D*"	"3"	7	7		
Fe	1	"5249.1049"	"263"	"1.2e+06"	E	"4.47327202"	"6.83462125"	"3d7.(4F).4p"	"z 3G*"	"3"	"3d7.(4F).4d"	"f 3F"	"3"	7	7		
Ar	1	"5249.165"	""	"7.9e+04"	E	"13.17177770"	"15.533100"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<3/2>).8d"	"2[3/2]*"	"2"	5	5		
Fe	2	"5249.3400"	"400"	"1.55e+07"	C+	"10.4134460"	"12.7746894"	"3d6.(5D).4d"	"6D"	"3/2"	"3d6.(5D<4>).4f"	"2[2]*"	"3/2"	4	4		
Co	2	"5249.3642"	"500"	"2.9e+07"	C+	"11.28869072"	"13.64992329"	"3d7.(4F).4d"	"e 5D"	"4"	"3d7.(4F<9/2>).4f"	"2[11/2]*"	"5"	9	11		
Cr	2	"5249.43550"	"7"	"9.7e+04"	D	"3.75763463"	"6.11883513"	"3d4.(a 3P).4s"	"b 4P"	"3/2"	"3d4.(5D).4p"	"z 6D*"	"5/2"	4	6		
C	2	"5249.528"	""	"2.76e+06"	B	"24.274338"	"26.635497"	"2s.2p.(3P*).3d"	"4F*"	"7/2"	"2s.2p.(3P*).4p"	"4D"	"7/2"	8	8		
C	2	"5249.898"	""	"2.58e+05"	B	"24.270227"	"26.631219"	"2s.2p.(3P*).3d"	"4F*"	"3/2"	"2s.2p.(3P*).4p"	"4D"	"5/2"	4	6		
Fe	1	"5250.2089"	"1550"	"9.30e+02"	A	"0.12126572"	"2.48211840"	"3d6.4s2"	"a 5D"	"0"	"3d6.(5D).4s.4p.(3P*)"	"z 7D*"	"1"	1	3		
Fe	1	"5250.6454"	"4470"	"2.28e+05"	D+	"2.19786640"	"4.55852281"	"3d7.(4P).4s"	"a 5P"	"2"	"3d6.(5D).4s.4p.(1P*)"	"y 5P*"	"3"	5	7		
Co	2	"5251.2169"	"99"	"4.1e+06"	D	"11.40138467"	"13.7617842"	"3d7.(4F).4d"	"e 5D"	"3"	"3d7.(4F<7/2>).4f"	"2[3/2]*"	"2"	7	5		
Fe	2	"5251.2257"	"5000"	"8.0e+07"	B+	"10.5194227"	"12.8798182"	"3d6.(5D).4d"	"e 6G"	"5/2"	"3d6.(5D<1>).4f"	"2[4]*"	"7/2"	6	8		
Co	2	"5251.8194"	"190"	"8.5e+06"	C+	"11.47101544"	"13.8311442"	"3d7.(4F).4d"	"e 3G"	"3"	"3d7.(4F<5/2>).4f"	"2[7/2]*"	"4"	7	9		
Co	2	"5252.0682"	"80"	"5.e+05"	D	"11.40138467"	"13.7614016"	"3d7.(4F).4d"	"e 5D"	"3"	"3d7.(4P).5p"	"5D*"	"4"	7	9		
Ti	1	"5252.0997"	"790"	"1.42e+05"	A	"0.04796626"	"2.4079690"	"3d2.4s2"	"a 3F"	"4"	"3d2.(3F).4s.4p.(3P*)"	"z 3F*"	"3"	9	7		
Co	2	"5252.586"	"340"	"1.9e+07"	C+	"11.27952940"	"13.6393135"	"3d7.(4F).4d"	"e 5H"	"6"	"3d7.(4F<9/2>).4f"	"2[13/2]*"	"6"	13	13		
Ar	1	"5252.787"	""	"5.4e+05"	D	"13.09487256"	"15.4545665"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<3/2>).7d"	"2[7/2]*"	"3"	5	7		
Be	1	"5252.83"	""	"3.1e+05"	C	"6.779127"	"[9.13880]"	"1s2.2s.3s"	"1S"	"0"	"1s2.2s.9p"	"1P*"	"1"	1	3		
Co	2	"5253.2978"	"87"	"2.4e+07"	C+	"11.47101544"	"13.8304800"	"3d7.(4F).4d"	"e 3G"	"3"	"3d7.(4F<5/2>).4f"	"2[7/2]*"	"3"	7	7		
Fe	1	"5253.4617"	"2290"	"2.15e+06"	B	"3.28302483"	"5.64241573"	"3d6.(5D).4s.4p.(3P*)"	"z 5D*"	"1"	"3d6.(5D).4s (6D).5s"	"e 5D"	"1"	3	3		
Fe	2	"5253.5189"	"130"	"2.0e+06"	D+	"10.4514812"	"12.8108465"	"3d6.(5D).4d"	"e 6G"	"11/2"	"3d6.(5D<3>).4f"	"2[4]*"	"9/2"	12	10		
P	2	"5253.479"	"300"	"1.0e+08"	D	"11.021355"	"13.380738"	"3s2.3p.4s"	"1P*"	"1"	"3s2.3p.4p"	"1D"	"2"	3	5		
C	2	"5253.559"	""	"4.70e+06"	B	"24.271872"	"26.631219"	"2s.2p.(3P*).3d"	"4F*"	"5/2"	"2s.2p.(3P*).4p"	"4D"	"5/2"	6	6		
Fe	2	"5253.6489"	"1200"	"1.48e+07"	B+	"10.4514812"	"12.8107881"	"3d6.(5D).4d"	"e 6G"	"11/2"	"3d6.(5D<3>).4f"	"2[5]*"	"11/2"	12	12		
Fe	2	"5254.4022"	"400"	"1.04e+07"	C+	"10.4996322"	"12.8586008"	"3d6.(5D).4d"	"f 4D"	"7/2"	"3d6.(5D<2>).4f"	"2[4]*"	"7/2"	8	8		
Ar	1	"5254.471"	""	"3.6e+05"	E	"13.15314387"	"15.5120816"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"1"	"3s2.3p5.(2P*<1/2>).6d"	"2[5/2]*"	"2"	3	5		
Co	2	"5254.9132"	"65"	"3.1e+05"	D	"11.39640435"	"13.7551436"	"3d7.(4F).4d"	"e 3G"	"4"	"3d7.(4F<7/2>).4f"	"2[7/2]*"	"4"	9	9		
Fe	1	"5254.9552"	"3310"	"8.31e+02"	A	"0.11011433"	"2.46883473"	"3d6.4s2"	"a 5D"	"1"	"3d6.(5D).4s.4p.(3P*)"	"z 7D*"	"2"	3	5		
Co	2	"5255.2703"	"130"	"2.5e+07"	C+	"11.47101544"	"13.8295944"	"3d7.(4F).4d"	"e 3G"	"3"	"3d7.(4F<5/2>).4f"	"2[9/2]*"	"4"	7	9		
Mn	1	"5255.326"	"85"	"4.17e+06"	B	"3.132553"	"5.491106"	"3d5.4s2"	"a 4G"	"11/2"	"3d6.(5D).4p"	"z 4F*"	"9/2"	12	10		
Ti	1	"5255.8058"	"180"	"8.52e+06"	B+	"2.1170622"	"4.4754008"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"4"	"3d2.4s.(4F).5s"	"e 5F"	"3"	9	7		
C	2	"5256.089"	""	"5.40e+06"	B	"24.270227"	"26.628438"	"2s.2p.(3P*).3d"	"4F*"	"3/2"	"2s.2p.(3P*).4p"	"4D"	"3/2"	4	4		
Na	1	"5256.69"	"7"	"2.e+06"	D	"33.1388"	"35.4967"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).4s"	"4P*"	"5/2"	4	6		
Co	2	"5256.6158"	"180"	"1.36e+07"	C+	"11.40138467"	"13.7593599"	"3d7.(4F).4d"	"e 5D"	"3"	"3d7.(4F<7/2>).4f"	"2[5/2]*"	"3"	7	7		
Fe	2	"5257.11889"	"1600"	"3.45e+07"	B+	"10.4996322"	"12.8573818"	"3d6.(5D).4d"	"f 4D"	"7/2"	"3d6.(5D<2>).4f"	"2[4]*"	"9/2"	8	10		
Co	2	"5257.1526"	"2000p"	"3.6e+06"	D	"11.39640435"	"13.75413882"	"3d7.(4F).4d"	"e 3G"	"4"	"3d7.(4F<7/2>).4f"	"2[7/2]*"	"3"	9	7		
C	2	"5257.236"	""	"2.41e+07"	B	"24.277800"	"26.635497"	"2s.2p.(3P*).3d"	"4F*"	"9/2"	"2s.2p.(3P*).4p"	"4D"	"7/2"	10	8		
Fe	2	"5257.89335"	"400"	"9.0e+06"	C+	"10.4552114"	"12.8126137"	"3d6.(5D).4d"	"6P"	"5/2"	"3d6.(5D<3>).4f"	"2[4]*"	"7/2"	6	8		
Fe	2	"5258.0211"	"11bl(Fe II)*"	"6.6e+05"	D+	"10.4996322"	"12.8569773"	"3d6.(5D).4d"	"f 4D"	"7/2"	"3d6.(5D<2>).4f"	"2[3]*"	"5/2"	8	6		
Fe	2	"5258.1129"	"230bl(Fe II)*"	"7.4e+05"	D+	"10.5194227"	"12.8767266"	"3d6.(5D).4d"	"e 6G"	"5/2"	"3d6.(5D<1>).4f"	"2[2]*"	"5/2"	6	6		
Fe	2	"5258.1221"	"230bl(Fe II)*"	"1.2e+07"	D+	"10.4672943"	"12.8245941"	"3d6.(5D).4d"	"6P"	"3/2"	"3d6.(5D<3>).4f"	"2[1]*"	"1/2"	4	2		
P	1	"5258.412"	""	"5.7e+04"	E	"6.9852271"	"9.3423968"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	"3s2.3p2.(3P).5p"	"4D*"	"3/2"	6	4		
Fe	2	"5258.4196"	"250"	"3.2e+06"	D+	"10.5226519"	"12.8798182"	"3d6.(5D).4d"	"f 4D"	"5/2"	"3d6.(5D<1>).4f"	"2[4]*"	"7/2"	6	8		
Co	2	"5259.0238"	"160"	"1.7e+07"	C+	"11.39640435"	"13.7532999"	"3d7.(4F).4d"	"e 3G"	"4"	"3d7.(4F<7/2>).4f"	"2[9/2]*"	"4"	9	9		
C	2	"5259.056"	""	"2.20e+07"	B	"24.274338"	"26.631219"	"2s.2p.(3P*).3d"	"4F*"	"7/2"	"2s.2p.(3P*).4p"	"4D"	"5/2"	8	6		
Co	2	"5259.4410"	"490"	"3.0e+07"	C+	"11.39640435"	"13.75311298"	"3d7.(4F).4d"	"e 3G"	"4"	"3d7.(4F<7/2>).4f"	"2[9/2]*"	"5"	9	11		
C	2	"5259.664"	""	"2.69e+07"	B	"24.270227"	"26.626835"	"2s.2p.(3P*).3d"	"4F*"	"3/2"	"2s.2p.(3P*).4p"	"4D"	"1/2"	4	2		
C	2	"5259.758"	""	"2.16e+07"	B	"24.271872"	"26.628438"	"2s.2p.(3P*).3d"	"4F*"	"5/2"	"2s.2p.(3P*).4p"	"4D"	"3/2"	6	4		
Ti	1	"5259.9729"	"110"	"2.3e+07"	D	"2.7377185"	"5.0941889"	"3d2.(3F).4s.4p.(3P*)"	"z 1D*"	"2"	"3d2.4s.(2F).5s"	"e 1F"	"3"	5	7		
Fe	2	"5260.2544"	"24000"	"1.85e+08"	B+	"10.4190334"	"12.7753777"	"3d6.(5D).4d"	"e 6G"	"13/2"	"3d6.(5D<4>).4f"	"2[7]*"	"15/2"	14	16		
V	1	"5260.3360"	"33000"	"3.6e+06"	B	"2.7892162"	"5.1455239"	"3d4.(1I).4s"	"2I"	"11/2"	"3d4.(3G).4p"	"v 2H*"	"9/2"	12	10		
Ca	1	"5260.387"	""	"6.1e+05"	E	"2.5212633"	"4.8775483"	"3p6.3d.4s"	"3D"	"1"	"3p6.3d.4p"	"3P*"	"2"	3	5		
Mn	1	"5260.771"	""	"2.6e+05"	C	"3.134994"	"5.491106"	"3d5.4s2"	"a 4G"	"9/2"	"3d6.(5D).4p"	"z 4F*"	"9/2"	10	10		
Fe	2	"5261.4550"	"240"	"3.5e+06"	D+	"10.5027943"	"12.8586008"	"3d6.(5D).4d"	"e 6G"	"7/2"	"3d6.(5D<2>).4f"	"2[4]*"	"7/2"	8	8		
Ca	1	"5261.704"	"22"	"1.5e+07"	D	"2.5212633"	"4.8769584"	"3p6.3d.4s"	"3D"	"1"	"3p6.3d.4p"	"3P*"	"1"	3	3		
Cr	1	"5261.7509"	"24"	"1.3e+07"	D	"3.69779039"	"6.05346444"	"3d4.(5D).4s.4p.(3P*)"	"y 5P*"	"3"	"3d4.4s.5s"	"f 5D"	"4"	7	9		
P	1	"5262.060"	""	"1.5e+06"	E	"7.1757806"	"9.5313163"	"3s2.3p2.(3P).4s"	"2P"	"1/2"	"3s2.3p2.(3P).5p"	"2P*"	"3/2"	2	4		
Ca	1	"5262.241"	"23"	"6.0e+07"	D	"2.5212633"	"4.8767178"	"3p6.3d.4s"	"3D"	"1"	"3p6.3d.4p"	"3P*"	"0"	3	1		
Fe	2	"5262.3128"	"400"	"1.72e+07"	C+	"10.5446893"	"12.9001119"	"3d6.(5D).4d"	"f 4D"	"3/2"	"3d6.(5D<0>).4f"	"2[3]*"	"5/2"	4	6		
Fe	2	"5262.4678"	""	"8.e+01"	E	"3.19725263"	"5.55260578"	"3d6.(3P2).4s"	"b 2P"	"3/2"	"3d6.(5D).4p"	"z 4D*"	"5/2"	4	6		
Ni	1	"5262.827"	""	"5.7e+04"	E	"3.7397508"	"6.0949429"	"3d8.(3F).4s.4p.(3P*)"	"5F*"	"2"	"3d9.(2D<5/2>).4d"	"2[3/2]"	"2"	5	5		
Fe	1	"5262.8812"	"100"	"8.7e+04"	E	"3.25148176"	"5.60664989"	"3d7.(2D2).4s"	"a 3D"	"3"	"3d6.(3P2).4s.4p.(3P*)"	"x 3D*"	"3"	7	7		
Fe	2	"5262.9555"	"160"	"3.2e+06"	D+	"10.4996322"	"12.8547671"	"3d6.(5D).4d"	"f 4D"	"7/2"	"3d6.(5D<2>).4f"	"2[5]*"	"9/2"	8	10		
Fe	1	"5263.3060"	"11500"	"6.36e+06"	B	"3.26570610"	"5.62068415"	"3d6.(5D).4s.4p.(3P*)"	"z 5D*"	"2"	"3d6.(5D).4s (6D).5s"	"e 5D"	"2"	5	5		
Ti	1	"5263.4833"	"130"	"4.95e+06"	B+	"2.1344363"	"4.4893350"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"5"	"3d2.4s.(4F).5s"	"e 5F"	"4"	11	9		
Fe	2	"5263.4906"	"100"	"6.7e+06"	D+	"10.4672943"	"12.8221898"	"3d6.(5D).4d"	"6P"	"3/2"	"3d6.(5D<3>).4f"	"2[1]*"	"3/2"	4	4		
