# line table created 10-03-21 from NIST database
# elements h-zn I-II included for wavelength range 2000-20000 angstrom. Energy units in ev. Only lines with trans prob. All level information. No uncertainties. 
#Data c+p from NIST as tab-delim. No JS, no spaces in values 
# note that headers changed from ritz_wl_air to obs_wl_air for compatability with existing code, removed units from headers too
# read in as dataframe by pandas, with delim tab, index col false and comment char #
#strings stripped from ei and ek in pandas eg line_table['Ek(eV)']=line_table['Ek(eV)'].str.replace('[^\d.]', '').astype(float)
#element	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type


element	sp_num	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	rm
Fe	2	"2011.65861"	"400d?"	"1.5e+06"	D	"6.72932284"	"12.8906141"	"3d5.4s2"	"b 4G"	"5/2"	"3d6.(5D<1>).4f"	"2[3]*"	"7/2"	6	8		
Co	2	"2011.68084"	"860"	"3.9e+06"	D	"2.72881087"	"8.89003402"	"3d7.(2G).4s"	"a 3G"	"4"	"3d7.(2H).4p"	"y 3H*"	"5"	9	11		
Co	2	"2012.17127"	"240"	"2.8e+06"	D	"7.87425876"	"14.0339805"	"3d7.(2G).4p"	"y 3F*"	"4"	""	"113191"	"3"	9	7		
Fe	2	"2012.22628"	"2100d?"	"2.3e+06"	D	"2.84411707"	"9.0036704"	"3d6.(3F2).4s"	"b 4F"	"5/2"	"3d6.(3D).4p"	"w 4D*"	"5/2"	6	6		
V	2	"2012.65204"	"14000"	"7.1e+06"	D+	"2.5097359"	"8.6679864"	"3d3.(2H).4s"	"b 3H"	"4"	"3d2.(3F).4s.4p.(3P*)"	"v 3G*"	"4"	9	9		
V	2	"2012.84801"	"14000"	"1.1e+07"	D+	"2.3721639"	"8.5298149"	"3d3.(2P).4s"	"b 3P"	"2"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"2"	5	5		
Cu	2	"2012.98041"	"1800000"	"2.5e+08"	C	"8.23486741"	"14.39211349"	"3d9.4p"	"3P*"	"2"	"3d9.(2D<5/2>).4d"	"2[5/2]"	"3"	5	7		
Fe	2	"2013.26022"	"10000"	"2.7e+07"	D+	"1.72398297"	"7.8803734"	"3d7"	"a 4P"	"1/2"	"3d6.(3F2).4p"	"x 4D*"	"1/2"	2	2		
Cr	2	"2013.61843"	"6"	"1.57e+05"		"0.00000000"	"6.15529544"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6D*"	"7/2"	6	8		
Fe	2	"2013.66323"	"4000"	"2.7e+07"	D+	"3.33923354"	"9.4943920"	"3d6.(3P2).4s"	"b 2P"	"1/2"	"3d6.(1S2).4p"	"x 2P*"	"1/2"	2	2		
Co	2	"2013.9953"	"290"	"1.5e+06"	E	"3.08552036"	"9.2396640"	"3d7.(2P).4s"	"c 3P"	"2"	"3d7.(2D2).4p"	"y 1P*"	"1"	5	3		
V	2	"2014.18773"	"92000"	"1.44e+08"	B	"2.51443045"	"8.6679864"	"3d3.(2H).4s"	"b 3H"	"5"	"3d2.(3F).4s.4p.(3P*)"	"v 3G*"	"4"	11	9		
V	2	"2014.20776"	"28000"	"7.1e+07"	D+	"2.3763202"	"8.5298149"	"3d3.(2P).4s"	"b 3P"	"1"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"2"	3	5		
Ni	1	"2014.241"	""	"9.3e+07"	C	"0.2123957"	"6.3657885"	"3d9.(2D).4s"	"3D"	"1"	"3d8.(1G).4s.4p.(3P*)"	"3F*"	"2"	3	5		
Fe	2	"2014.36985"	"3000"	"1.4e+07"	E	"7.11806748"	"13.2710671"	"3d5.4s2"	"d 4P"	"5/2"	"3d5.(2D3).4s.4p.(3P*)"	"4D*"	"7/2"	6	8		
Co	2	"2014.43891"	"390"	"1.2e+06"	D	"7.61117297"	"13.7639617"	"3d7.(4P).4p"	"y 5D*"	"4"	"3d7.(4F).5d"	"5F"	"5"	9	11		
Si	2	"2014.92"	""	"3.31e+07"	D+	"9.505292"	"15.65660"	"3s.3p2"	"2S"	"1/2"	"3s.3p.(3P*).3d"	"2P*"	"1/2"	2	2		
V	2	"2014.9202"	"4100"	"4.1e+07"	D+	"3.7526931"	"9.9040124"	"3d3.(2F).4s"	"c 3F"	"2"	"3d2.(1G).4s.4p.(3P*)"	"u 3G*"	"3"	5	7		
V	2	"2015.02635"	"6900"	"1.1e+07"	D+	"2.26815109"	"8.4191464"	"3d4"	"a 3D"	"2"	"3d2.(3F).4s.4p.(3P*)"	"v 3F*"	"3"	5	7		
Fe	2	"2015.20009"	"400"	"4.5e+06"	D	"7.11806748"	"13.2685325"	"3d5.4s2"	"d 4P"	"5/2"	"3d5.(2D3).4s.4p.(3P*)"	"4D*"	"5/2"	6	6		
Fe	2	"2015.48736"	"28000"	"2.3e+07"	D+	"1.69526130"	"7.8448498"	"3d7"	"a 4P"	"3/2"	"3d6.(3F2).4p"	"x 4D*"	"5/2"	4	6		
V	2	"2015.55940"	"17000"	"4.8e+07"	D+	"2.3757135"	"8.5250823"	"3d3.(2P).4s"	"b 3P"	"0"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"1"	1	3		
Cu	2	"2015.58222"	"1400000"	"2.1e+07"	C+	"2.97541889"	"9.12471804"	"3d9.4s"	"3D"	"1"	"3d9.4p"	"1P*"	"1"	3	3		
V	2	"2015.65250"	"2900"	"1.1e+07"	D+	"1.79302842"	"7.9421132"	"3d4"	"a 3G"	"3"	"3d3.(2F).4p"	"w 3G*"	"3"	7	7		
Co	2	"2015.70260"	"410"	"3.1e+06"	D	"2.77903526"	"8.92796723"	"3d7.(2G).4s"	"a 3G"	"3"	"3d7.(2H).4p"	"y 3H*"	"4"	7	9		
V	2	"2015.7583"	"14000"	"2.2e+07"	D+	"2.3763202"	"8.5250823"	"3d3.(2P).4s"	"b 3P"	"1"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"1"	3	3		
Fe	2	"2015.85208"	"600"	"1.3e+06"	D	"6.73026350"	"12.8787396"	"3d5.4s2"	"b 4G"	"7/2"	"3d6.(5D<1>).4f"	"2[4]*"	"9/2"	8	10		
Al	2	"2016.052"	"150"	"9.82e+07"	C+	"11.846618"	"17.994485"	"3s.3d"	"3D"	"3"	"3s.8f"	"3F*"	"4"	7	9		
Fe	2	"2016.07954"	"9000"	"1.9e+07"	D+	"2.84411707"	"8.9918996"	"3d6.(3F2).4s"	"b 4F"	"5/2"	"3d6.(3D).4p"	"w 4D*"	"3/2"	6	4		
Al	2	"2016.189"	"80"	"1.10e+07"	D	"11.846618"	"17.994066"	"3s.3d"	"3D"	"3"	"3s.8f"	"3F*"	"3"	7	7		
Al	2	"2016.234"	"150"	"8.73e+07"	C+	"11.846753"	"17.994066"	"3s.3d"	"3D"	"2"	"3s.8f"	"3F*"	"3"	5	7		
Al	2	"2016.288"	""	"4.32e+05"	E	"11.846618"	"17.993766"	"3s.3d"	"3D"	"3"	"3s.8f"	"3F*"	"2"	7	5		
Al	2	"2016.332"	"50"	"1.53e+07"	D	"11.846753"	"17.993766"	"3s.3d"	"3D"	"2"	"3s.8f"	"3F*"	"2"	5	5		
Al	2	"2016.370"	"100"	"8.25e+07"	C	"11.846869"	"17.993766"	"3s.3d"	"3D"	"1"	"3s.8f"	"3F*"	"2"	3	5		
V	2	"2016.50477"	"3300"	"1.0e+07"	D+	"1.80472253"	"7.9512088"	"3d4"	"a 3G"	"4"	"3d3.(2F).4p"	"w 3G*"	"4"	9	9		
V	2	"2016.55299"	"7200bl"	"8.e+06"	D+	"1.81706384"	"7.9634032"	"3d4"	"a 3G"	"5"	"3d3.(2F).4p"	"w 3G*"	"5"	11	11		
O	2	"2016.5822"	"10"	"8.57e+06"	C	"25.8373471"	"31.983597"	"2s2.2p2.(3P).3p"	"4P*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"5/2"	4	6		
Si	2	"2016.66"	""	"3.39e+07"	C	"9.505292"	"15.65132"	"3s.3p2"	"2S"	"1/2"	"3s.3p.(3P*).3d"	"2P*"	"3/2"	2	4		
Cu	2	"2016.89673"	"1700000"	"8.1e+06"	C+	"2.71881633"	"8.86410828"	"3d9.4s"	"3D"	"3"	"3d9.4p"	"1D*"	"2"	7	5		
Cr	2	"2016.92190"	"3"	"2.82e+05"		"0.00000000"	"6.14521527"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6D*"	"3/2"	6	4		
Fe	2	"2017.09408"	"12000"	"1.5e+07"	D+	"1.72398297"	"7.8686738"	"3d7"	"a 4P"	"1/2"	"3d6.(3F2).4p"	"x 4D*"	"3/2"	2	4		
Fe	2	"2017.85041"	"5000"	"6.1e+06"	D+	"2.82812245"	"8.9705104"	"3d6.(3F2).4s"	"b 4F"	"7/2"	"3d6.(3D).4p"	"w 4F*"	"7/2"	8	8		
C	2	"2017.925"	""	"1.32e+07"	B	"16.331740"	"22.473902"	"2s2.3p"	"2P*"	"1/2"	"2s2.6s"	"2S"	"1/2"	2	2		
C	2	"2018.379"	""	"2.64e+07"	B	"16.333123"	"22.473902"	"2s2.3p"	"2P*"	"3/2"	"2s2.6s"	"2S"	"1/2"	4	2		
Fe	2	"2018.54728"	"600"	"9.e+06"	E	"7.12826481"	"13.2685325"	"3d5.4s2"	"d 4P"	"3/2"	"3d5.(2D3).4s.4p.(3P*)"	"4D*"	"5/2"	4	6		
Fe	2	"2018.77724"	"35000"	"2.6e+07"	D+	"1.96448604"	"8.1040544"	"3d7"	"a 2G"	"9/2"	"3d6.(3H).4p"	"z 2H*"	"11/2"	10	12		
Fe	2	"2019.82486"	"2100d?"	"3.1e+06"	D	"2.85551515"	"8.9918996"	"3d6.(3F2).4s"	"b 4F"	"3/2"	"3d6.(3D).4p"	"w 4D*"	"3/2"	4	4		
Co	2	"2019.85279"	"280"	"7.e+05"	E	"2.23561202"	"8.37191162"	"3d7.(4P).4s"	"a 5P"	"2"	"3d7.(2P).4p"	"x 3D*"	"3"	5	7		
O	2	"2020.3299"	"12"	"1.99e+07"	C	"25.8487467"	"31.983597"	"2s2.2p2.(3P).3p"	"4P*"	"5/2"	"2s2.2p2.(3P).5s"	"4P"	"5/2"	6	6		
Fe	2	"2020.75101"	"40000"	"1.83e+07"	C+	"1.67061856"	"7.8041909"	"3d7"	"a 4P"	"5/2"	"3d6.(3F2).4p"	"x 4D*"	"7/2"	6	8		
