w0,vel_diff,rv_wl,obs_wl_air,prev_obs,element,sp_num,intens,Aki,Acc,Ei,Ek,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,prev,rv_shift,vsini_shift,f0_flat,f0_data,SNR,multi,tar_inst,abs_vel_diff
4685.7,-14.0750035766885,4685.92,4685.91,,He,2,,19588000,AA,48.37151258731,51.01666851092,3p,2P*,3/2,4s,2S,1/2,4,2,,,0.01,1.56,0.298210132215584,0.00286284807499,3.29177616375295,yes,EX_Lupi_all,14.0750035766885
4685.7,-14.7147450645105,4685.93,4685.92,,He,2,,5563600,AA,48.371512233303,51.01666119611,3d,2D,3/2,4p,2P*,1/2,4,2,,,0.01,1.56,0.298210132215584,0.00286284807499,3.29177616375295,yes,EX_Lupi_all,14.7147450645105
4685.7,17.9155525523696,4685.42,4685.41,,He,2,,49071000,AA,48.3713147192,51.01675197039,3s,2S,1/2,4p,2P*,3/2,2,4,,,0.01,1.56,0.298210132215584,0.00286284807499,3.29177616375295,yes,EX_Lupi_all,17.9155525523696
4685.7,19.8352030417633,4685.39,4685.38,,He,2,,93894000,AA,48.37129741757,51.0167518192,3p,2P*,1/2,4d,2D,3/2,2,4,,,0.01,1.56,0.298210132215584,0.00286284807499,3.29177616375295,yes,EX_Lupi_all,19.8352030417633
4858.7,-159.723543795997,4861.29,4861.28,E12o-HI/E12q-H$\beta$/A17o-HI,H,1,,17188000,AAA,10.19880615024,12.7485381084,2p,2P*,1/2,4d,2D,3/2,2,4,,E12o/E12q/A17o,0.01,1.62,0.339440798890279,0.004620802297465,3.74689861303742,yes,EX_Lupi_all,159.723543795997
4858.7,-160.339907185343,4861.3,4861.29,,H,1,,859410,AAA,10.19880615024,12.74853299663,2p,2P*,1/2,4s,2S,1/2,2,2,,,0.01,1.62,0.339440798890279,0.004620802297465,3.74689861303742,yes,EX_Lupi_all,160.339907185343
4858.7,-160.956268038898,4861.31,4861.3,,H,1,,9668300,AAA,10.1988105251482,12.74853244632,2s,2S,1/2,4p,2P*,1/2,2,2,,,0.01,1.62,0.339440798890279,0.004620802297465,3.74689861303742,yes,EX_Lupi_all,160.956268038898
4858.7,-162.805335384914,4861.34,4861.33,,H,1,180000,8419300,AAA,10.1988358,12.7485393,2,,,4,,,8,32,,,0.01,1.62,0.339440798890279,0.004620802297465,3.74689861303742,yes,EX_Lupi_all,162.805335384914
4858.7,-164.038034270236,4861.36,4861.35,Z20q-H$\beta$/Z20o-H$\beta$,H,1,,20625000,AAA,10.19885151459,12.74853999753,2p,2P*,3/2,4d,2D,5/2,4,6,,Z20q/Z20o,0.01,1.62,0.339440798890279,0.004620802297465,3.74689861303742,yes,EX_Lupi_all,164.038034270236
4858.7,-164.654379909372,4861.37,4861.36,,H,1,,20625000,AAA,10.19885151459,12.74853999753,2p,2P*,3/2,4d,2D,5/2,4,6,,,0.01,1.62,0.339440798890279,0.004620802297465,3.74689861303742,yes,EX_Lupi_all,164.654379909372
4858.7,-165.270723012825,4861.38,4861.37,,H,1,,1719000,AAA,10.19885151459,12.74853299663,2p,2P*,3/2,4s,2S,1/2,4,2,,,0.01,1.62,0.339440798890279,0.004620802297465,3.74689861303742,yes,EX_Lupi_all,165.270723012825
4922,3.65456455790196,4921.94,4921.93,E15q-HeI/E12q-HeI,He,1,20,19863000,AAA,21.2180230218,23.73633535786,1s.2p,1P*,1,1s.4d,1D,2,3,5,,E15q/E12q,0.01,1.64,0.438913616798574,0.004472796643291,4.84492384946751,yes,EX_Lupi_all,3.65456455790196
4922,-117.507650177823,4923.93,4923.92,Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII/A17o-FeII,Fe,2,5000,4300000,C,2.8910183,5.40831276,3d5.4s2,a 6S,5/2,3d6.(5D).4p,z 6P*,3/2,6,4,,Z20q/E15q/Z20o/E12q/A17o,0.01,1.64,0.438913616798574,0.004472796643291,4.84492384946751,yes,EX_Lupi_all,117.507650177823
5015.7,0.597709304216456,5015.69,5015.68,E15q-HeI/E12q-HeI,He,1,100,13372000,AAA,20.6157751334,23.0870188528,1s.2s,1S,0,1s.3p,1P*,1,1,3,,E15q/E12q,0.01,1.67,0.655039521213188,0.005434932221739,7.2306177735333,yes,EX_Lupi_all,0.597709304216456
5015.7,-163.682605534775,5018.44,5018.43,E12o-FeII/Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII/A17o-FeII,Fe,2,8000,2000000,D+,2.8910183,5.36090398,3d5.4s2,a 6S,5/2,3d6.(5D).4p,z 6P*,5/2,6,6,,E12o/Z20q/E15q/Z20o/E12q/A17o,0.01,1.67,0.655039521213188,0.005434932221739,7.2306177735333,yes,EX_Lupi_all,163.682605534775
5167.4,4.06118286618287,5167.33,5167.32,E12q-MgI/FeI/A17o-MgI,Mg,1,42,11300000,B+,2.7091049,5.107827,3s.3p,3P*,0,3s.4s,3S,1,1,3,,E12q/A17o,0.01,1.72,0.927170700277627,0.007046071004638,10.2345228454465,yes,EX_Lupi_all,4.06118286618287
5167.4,-5.22135915503342,5167.49,5167.48,E12q-MgI/FeI,Fe,1,760000,2720000,B+,1.48486439,3.88350907,3d7.(4F).4s,a 3F,4,3d6.(5D).4s.4p.(3P*),z 3D*,3,9,7,,E12q,0.01,1.72,0.927170700277627,0.007046071004638,10.2345228454465,yes,EX_Lupi_all,5.22135915503342
5167.4,-5.8014989453525,5167.5,5167.49,,Fe,1,760000,2720000,B+,1.48486439,3.88350907,3d7.(4F).4s,a 3F,4,3d6.(5D).4s.4p.(3P*),z 3D*,3,9,7,,,0.01,1.72,0.927170700277627,0.007046071004638,10.2345228454465,yes,EX_Lupi_all,5.8014989453525
5167.4,-9.86241460880488,5167.57,5167.56,,Co,2,120,1800000,D,11.25197094,13.650584,3d7.(4F).4d,f 5F,3,3d7.(4F<9/2>).4f,2[9/2]*,4,7,9,,,0.01,1.72,0.927170700277627,0.007046071004638,10.2345228454465,yes,EX_Lupi_all,9.86241460880488
5167.4,-38.2857440277839,5168.06,5168.05,,N,2,,30600000,C+,27.971269,30.369653,2s.2p2.(4P).3p,5P*,1,2s.2p2.(4P).3d,5D,2,3,5,,,0.01,1.72,0.927170700277627,0.007046071004638,10.2345228454465,yes,EX_Lupi_all,38.2857440277839
5167.4,-76.5617105511975,5168.72,5168.71,,Fe,2,40,680000,D+,10.4552114,12.8532884,3d6.(5D).4d,6P,5/2,3d6.(5D<2>).4f,2[1]*,3/2,6,4,,,0.01,1.72,0.927170700277627,0.007046071004638,10.2345228454465,yes,EX_Lupi_all,76.5617105511975
5167.4,-85.8392606986701,5168.88,5168.87,,Co,2,57,350000,D,11.485877,13.8838786,3d7.(4F).4d,e 3D,1,3d7.(4F<3/2>).4f,2[5/2]*,2,3,5,,,0.01,1.72,0.927170700277627,0.007046071004638,10.2345228454465,yes,EX_Lupi_all,85.8392606986701
5167.4,-87.5787374088668,5168.91,5168.9,,Fe,1,22400,3830,A,0.05156912,2.44955978,3d6.4s2,a 5D,3,3d6.(5D).4s.4p.(3P*),z 7D*,3,7,7,,,0.01,1.72,0.927170700277627,0.007046071004638,10.2345228454465,yes,EX_Lupi_all,87.5787374088668
5167.4,-95.1162365004136,5169.04,5169.03,E15q-FeII/Z20o-FeII/E12q-FeII/FeI,Fe,2,7000,4200000,C,2.8910183,5.28894824,3d5.4s2,a 6S,5/2,3d6.(5D).4p,z 6P*,7/2,6,8,,E15q/Z20o/E12q,0.01,1.72,0.927170700277627,0.007046071004638,10.2345228454465,yes,EX_Lupi_all,95.1162365004136
5167.4,-109.61036150421,5169.29,5169.28,E12q-FeII/FeI,Fe,2,7000,4200000,C,2.8910183,5.28894824,3d5.4s2,a 6S,5/2,3d6.(5D).4p,z 6P*,7/2,6,8,,E12q,0.01,1.72,0.927170700277627,0.007046071004638,10.2345228454465,yes,EX_Lupi_all,109.61036150421
5169,-151.298786138147,5171.61,5171.6,E15q-FeI,Fe,1,162000,446000,A,1.48486439,3.88160368,3d7.(4F).4s,a 3F,4,3d6.(5D).4s.4p.(3P*),z 3F*,4,9,9,,E15q,0.01,1.73,1.99085223251495,0.01032496272237,21.9759130109281,yes,EX_Lupi_all,151.298786138147
5169,-155.354505197554,5171.68,5171.67,E12q-FeI,Fe,1,162000,446000,A,1.48486439,3.88160368,3d7.(4F).4s,a 3F,4,3d6.(5D).4s.4p.(3P*),z 3F*,4,9,9,,E12q,0.01,1.73,1.99085223251495,0.01032496272237,21.9759130109281,yes,EX_Lupi_all,155.354505197554
5172.7,0.579567803225292,5172.69,5172.68,Z20q-MgI/E15q-MgI/Z20o-MgI/E12q-MgI/A17o-MgI,Mg,1,,3.46E-05,B,2.7115919,5.107827,3s.3p,3P*,1,3s.4s,3S,1,3,3,M2,Z20q/E15q/Z20o/E12q/A17o,0.01,1.73,0.741965800658881,0.005902424768953,8.1901487343264,yes,EX_Lupi_all,0.579567803225292
5172.7,-156.980328356596,5175.41,5175.4,,Fe,2,900,180000,D,7.7269984,10.1219773,3d6.(3H).4p,z 2G*,7/2,3d5.4s2,2F2,5/2,8,6,,,0.01,1.73,0.741965800658881,0.005902424768953,8.1901487343264,yes,EX_Lupi_all,156.980328356596
5183.6,-0.578346862474758,5183.61,5183.6,Z20q-MgI/E15q-MgI/Z20o-MgI/E12q-MgI/A17o-MgI,Mg,1,,0.000102,B,2.7166398,5.107827,3s.3p,3P*,2,3s.4s,3S,1,5,3,M2,Z20q/E15q/Z20o/E12q/A17o,0.01,1.73,1.06537421074765,0.006812839405653,11.7600747042389,yes,EX_Lupi_all,0.578346862474758
5183.6,5.78359135721213,5183.5,5183.49,,Fe,2,190,1800000,D+,10.430992,12.8222325,3d6.(5D).4d,6D,1/2,3d6.(5D<3>).4f,2[0]*,1/2,2,2,,,0.01,1.73,1.06537421074765,0.006812839405653,11.7600747042389,yes,EX_Lupi_all,5.78359135721213
5183.6,-6.94001507796858,5183.72,5183.71,,Ti,2,8,90400,C',1.89169544,4.28283327,3d2.(1G).4s,b 2G,9/2,3d2.(3F).4p,z 2G*,7/2,10,8,,,0.01,1.73,1.06537421074765,0.006812839405653,11.7600747042389,yes,EX_Lupi_all,6.94001507796858
